masp,tensp,slt,mota,gia
SP001740,Marilyn's almost terminal New York adventure,722,,188000
SP001741,Cause of Death,72,,278000
SP001742,Atonement,23,,572000
SP001743,Whispering Rabbit   The,953,,529000
SP001744,The Mystery of the Poison Arrow Tree,750,,734000
SP001745,Sally Marshall Is Not an Alien (Uqp Storybridge Series),705,,896000
SP001746,Cantor's Dilemma,688,,974000
SP001747,The Alchemist: A Fable About Following Your Dream,15,,406000
SP001748,The Poisonwood Bible,60,,660000
SP001749,My Dream of You,277,,200000
SP001750,The Case for Christ : A Journalist's Personal Investigation of the Evidence for Jesus,17,,443000
SP001751,The Mighty 'Mox: The 75th Anniversary History of the People   Stories   and Events That Made Kmox a Radio Giant,73,,630000
SP001752,Stories for the Faithful Heart,443,,558000
SP001753,Book of African Names,915,,531000
SP001754,The Climb: Tragic Ambitions on Everest,130,,417000
SP001755,Sir Gawain and the Green Knight (Signet Classics (Paperback)),588,,930000
SP001756,Waiting to Exhale,732,,345000
SP001757,Body Double,586,,850000
SP001758,Jimmy Stewart and His Poems,720,,812000
SP001759,A SOCIABLE GOD,270,,397000
SP001760,The Vanished Man : A Lincoln Rhyme Novel (Lincoln Rhyme Novels (Paperback)),654,,532000
SP001761,Time Flies,442,,558000
SP001762,My side: The autobiography of Ruth Gordon,149,,722000
SP001763,The Habit of Being,227,,829000
SP001764,The Ultimate Hitchhiker's Guide,929,,194000
SP001765,The Collected Stories of Isaac Bashevis Singer,564,,521000
SP001766,Nothingmas Day,748,,734000
SP001767,Hush Little Babies : The True Story Of A Mother Who Murdered Her Own Children (St. Martin's True Crime Library),932,,819000
SP001768,The Vanished Man : A Lincoln Rhyme Novel,891,,316000
SP001769,GARDENS IN THE DUNES: A Novel,724,,457000
SP001770,Sparks of Genius: The Thirteen Thinking Tools of the World's Most Creative People,130,,275000
SP001771,The world of PelÃ©,184,,227000
SP001772,Irish Mist: A Nuala Anne McGrail Novel (Nuala Anne McGrail Novels (Paperback)),375,,852000
SP001773,Sullivan's Island: A Lowcountry Tale,147,,111000
SP001774,Chromosome 6,132,,248000
SP001775,Sleeping Murder (Miss Marple Mysteries (Paperback)),156,,171000
SP001776,Incidents in the Rue Laugier (Vintage Contemporaries),480,,592000
SP001777,Gettin' Merry,85,,312000
SP001778,Skull Session,875,,716000
SP001779,Point of Origin,386,,236000
SP001780,Rising Sun,546,,528000
SP001781,Black Friday,901,,806000
SP001782,Cradle and All,309,,310000
SP001783,1st to Die: A Novel,913,,656000
SP001784,Flight from Big Tangle (Orca Young Reader),951,,940000
SP001785,Arthur (The Pendragon Cycle   Book 3),186,,638000
SP001786,Belgrave Square,350,,774000
SP001787,Siberian Light,969,,582000
SP001788,Cold Case,597,,676000
SP001789,To Cut a Long Story Short,674,,181000
SP001790,Une Vie,686,,400000
SP001791,Flesh and Blood,620,,415000
SP001792,Darwinia,105,,988000
SP001793,A Thousand Plateaus: Capitalism and Schizophrenia,430,,272000
SP001794,Der Wettermacher.,95,,734000
SP001795,Intrige.,32,,112000
SP001796,Die Mambo Kings spielen Songs der Liebe. Roman.,270,,447000
SP001797,Das verbotene Lied.,400,,842000
SP001798,Quadrupelfuge.,746,,757000
SP001799,Legend,656,,124000
SP001800,Mastering Linux Premium Edition,221,,423000
SP001801,The Complete Hot &amp; Spicy Cookbook,976,,781000
SP001802,Avatar,769,,844000
SP001803,Kissed by Shadows (Get Connected Romances),568,,922000
SP001804,Guinness 2000 Book of Records: Millennium Edition (Guinness Book of Records   2000),145,,984000
SP001805,L Is for Lawless (Kinsey Millhone Mysteries),191,,363000
SP001806,Technomanifestos: Visions from the Information Revolutionaries,326,,481000
SP001807,The Wicked Priest: An Allegory in Two Acts,744,,669000
SP001808,Doctor Sax: Faust Part Three,313,,290000
SP001809,Dorien's Diary: My Intimate Confessions,897,,914000
SP001810,Fg on Our Immigrant Ance,64,,383000
SP001811,Fg Cooks 3 Ancient Cuis,828,,160000
SP001812,Fg Cooks American,704,,444000
SP001813,The Gift of Motherhood : 10 Truths for Every Mother,244,,548000
SP001814,Chicken Soup for the Parent's Soul : 101 Stories of Loving   Learning and Parenting (Chicken Soup for the Soul (Paper)),601,,664000
SP001815,CHILD IS BORN   A,530,,278000
SP001816,Business in Action,798,,802000
SP001817,Stimulus Factor   The,917,,968000
SP001818,Leading Corporate Citizens,780,,902000
SP001819,Managing Technology and Innovation for Competitive Advantage,649,,202000
SP001820,Strategic Renewal: Becoming a High-Performance Organization,149,,642000
SP001821,The Unofficial Guide to Having a Baby,561,,609000
SP001822,Big Little Book of Irish Wit &amp; Wisdom: Six Volumes in One : Irish Blessings   Irish Toasts   Irish Proverbs   Irish Riddles   Irish Laws   Irish Wisdom,993,,678000
SP001823,Cider with Rosie,518,,170000
SP001824,The Fight: Norman Mailer,589,,628000
SP001825,253,146,,167000
SP001826,Brighton Rock,780,,503000
SP001827,Irene's Last Waltz,676,,176000
SP001828,Into Thin Air : A Personal Account of the Mt. Everest Disaster,754,,830000
SP001829,The Phantom of the Opera (Signet Classics (Paperback)),541,,475000
SP001830,The Japanese Cult of Tranquillity,28,,812000
SP001831,The Way We Never Were: American Families and the Nostalgia Trap,157,,707000
SP001832,Feel Good Naked,586,,118000
SP001833,Secret History,707,,958000
SP001834,CRUDDY : An Illustrated Novel,473,,341000
SP001835,Hocus Pocus,300,,353000
SP001836,Un Milagro Informal,447,,570000
SP001837,Sangre a Borbotones (Coleccion Nueva Biblioteca),38,,771000
SP001838,Skinwalkers (Joe Leaphorn/Jim Chee Novels),823,,892000
SP001839,Sis Boom Bah,455,,455000
SP001840,Switcheroo : A Novel,847,,914000
SP001841,Hill Towns,197,,985000
SP001842,Snow Falling on Cedars,753,,871000
SP001843,Life's Little Instruction Book; Volume II,658,,433000
SP001844,Les fantomes   ca n' existe pas. (Lernmaterialien),300,,575000
SP001845,The Hanged Man,904,,607000
SP001846,Everything's Eventual : 14 Dark Tales,264,,307000
SP001847,He Sees You When You're Sleeping : A Novel,516,,419000
SP001848,Lost Girls,622,,876000
SP001849,Dr. Atkins' Age-Defying Diet Revolution,153,,543000
SP001850,Peeling the Onion (Laurel Leaf Books),516,,669000
SP001851,A Cup of Tea (Ballantine Reader's Circle),624,,443000
SP001852,Ender's Game (Ender Wiggins Saga (Paperback)),10,,990000
SP001853,Leaving Home,924,,573000
SP001854,The Passion of Artemisia,743,,555000
SP001855,Tommy's Tale: A Novel,758,,978000
SP001856,The Mad Dog 100 : The Greatest Sports Arguments of All Time,699,,674000
SP001857,A Venetian Affair,163,,689000
SP001858,As the Romans Do: An American Family's Italian Odyssey,335,,240000
SP001859,The Anatomist,124,,838000
SP001860,The Skies of Pern,84,,369000
SP001861,Dragondrums,387,,623000
SP001862,Instances of the Number 3,194,,879000
SP001863,Beethoven's Hair : An Extraordinary Historical Odyssey and a Scientific Mystery Solved,610,,711000
SP001864,Fortune Is a River : Leonardo Da Vinci and Niccolo Machiavelli's Magnificent Dream to Change the Course of Florentine History,68,,414000
SP001865,Here on Earth,599,,280000
SP001866,Rhoda : A Life in Stories Tag: Winner of the National Book Award for Fiction,53,,147000
SP001867,The Lost World,433,,938000
SP001868,Resist or Serve (The Official Guide to the X-Files   Vol. 4),402,,282000
SP001869,Summerland,142,,902000
SP001870,Dragonsong,195,,402000
SP001871,Dragonsinger (Harper Hall Trilogy),175,,466000
SP001872,Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture,938,,274000
SP001873,The Giver (Readers Circle),297,,723000
SP001874,D. W.'S Color Book,273,,266000
SP001875,The Writers Complete Fantasy Reference: An Indispensable Compendium of Myth and Magic,434,,334000
SP001876,Photoshop 3 for Macintosh (Visual Quickstart Guide),237,,339000
SP001877,Starfire (Bantam Spectra),416,,507000
SP001878,BORDERS OF INFINITY,312,,803000
SP001879,An Instance of the Fingerpost,547,,833000
SP001880,Washington's Dirigible (Timeline Wars/John Barnes   No 2),521,,487000
SP001881,The Shelters of Stone (Earth's Children Series   No 5),827,,306000
SP001882,Absolute Power,15,,413000
SP001883,Reversible Errors: A Novel,502,,624000
SP001884,Finding the Right Place at the Right Time; Everything You Need to Know About Retirement Housing,984,,719000
SP001885,Inside Corporate America: A Guide for African Americans,946,,530000
SP001886,California Rush: A Novel,871,,487000
SP001887,A Boy Named Phyllis: A Suburban Memoir,548,,436000
SP001888,The Icarus Agenda,782,,537000
SP001889,The Man Who Mistook His Wife for a Hat: And Other Clinical Tales,642,,590000
SP001890,A Room of One's Own,502,,872000
SP001891,The Clue of the Velvet Mask (Nancy Drew (Hardcover)),224,,629000
SP001892,Pokemon Tales : Where's Clefairy's Voice? (Pokemon Tales),862,,466000
SP001893,Inanna,233,,199000
SP001894,Frommer's 96 Frugal Traveler's Guides: Europe from $50 a Day (Serial),741,,184000
SP001895,White Oleander : A Novel,965,,369000
SP001896,Emmanuel's Book: A Manual for Living Comfortably in the Cosmos,578,,693000
SP001897,The Mammoth Book of Ghost Stories,56,,970000
SP001898,Midnight Blue,927,,617000
SP001899,Wild Thorn,924,,887000
SP001900,A Supposedly Fun Thing I'll Never Do Again : Essays and Arguments Tag: Author of Infinite Jest,940,,462000
SP001901,Private Eyes (Alex Delaware Novels (Paperback)),668,,505000
SP001902,City of Bones,84,,361000
SP001903,Lucky You,674,,249000
SP001904,CAT'S EYE,587,,357000
SP001905,The Handmaid's Tale,418,,639000
SP001906,The Girl Who Loved Tom Gordon : A Novel,794,,864000
SP001907,Blood Test,615,,566000
SP001908,The Murder Book,917,,154000
SP001909,When the Bough Breaks,208,,682000
SP001910,Captain Underpants and the Attack of the Talking Toilets: Another Epic Novel (Captain Underpants (Paper)),381,,886000
SP001911,Falling Towards England,805,,554000
SP001912,Absolute Zero,845,,588000
SP001913,Das Parfum: Die Geschichte Eines Morders,964,,730000
SP001914,Body of Lies,593,,143000
SP001915,Every Breath You Take : A True Story of Obsession   Revenge   and Murder,721,,916000
SP001916,Amazonia,430,,313000
SP001917,Acid Row,182,,283000
SP001918,A Density of Souls,556,,922000
SP001919,Standing in the Rainbow : A Novel,980,,808000
SP001920,Raven (Orphans),496,,965000
SP001921,White Oleander : A Novel,251,,867000
SP001922,EVERYTHING SHE EVER WANTED,790,,335000
SP001923,The Sound and the Fury (Vintage International),458,,273000
SP001924,Manitous Daughter Indian Heritage 1,383,,351000
SP001925,Born of the Sun,715,,178000
SP001926,A Cold Day for Murder,643,,257000
SP001927,The White Puma,313,,537000
SP001928,Trust Me,967,,135000
SP001929,The Cat Who Could Read Backwards,791,,212000
SP001930,The Cat Who Knew Shakespeare,490,,127000
SP001931,The Cat Who Wasn't There,636,,771000
SP001932,A Caribbean Mystery,337,,206000
SP001933,God-Shaped Hole,324,,134000
SP001934,Afrikanisches Fieber. Erfahrungen aus vierzig Jahren.,603,,994000
SP001935,Sympathy for the Devil,628,,750000
SP001936,Alias Grace,106,,743000
SP001937,Third Eye,93,,691000
SP001938,Criminal Intent,550,,298000
SP001939,Exiles Trilogy From Earth,109,,336000
SP001940,HABIBI,232,,205000
SP001941,Ishmael: An Adventure of the Mind and Spirit,29,,258000
SP001942,Edge of the sacred: Transformation in Australia,545,,536000
SP001943,Baudolino,937,,669000
SP001944,The Australia Stories: A Novel,310,,190000
SP001945,Crescent City Rhapsody,291,,780000
SP001946,Written on the Body,5,,861000
SP001947,Cinco dÃ­as en ParÃ­s,57,,903000
SP001948,Molly Takes Flight (American Girls Short Stories),18,,403000
SP001949,Pregnancy and Birth: Your Questions Answered,666,,506000
SP001950,Lightning,611,,518000
SP001951,The Homing,189,,178000
SP001952,The Wire in the Blood (A Dr. Tony Hill &amp; Carol Jordan Mystery),634,,253000
SP001953,Hearts In Atlantis,735,,260000
SP001954,Winter Moon,651,,263000
SP001955,Mercy,708,,563000
SP001956,An Acceptable Time,421,,657000
SP001957,Eyes of the Dragon,722,,542000
SP001958,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),200,,975000
SP001959,The Simple Truth,462,,703000
SP001960,Fitcher's Brides (Fairy Tales),191,,715000
SP001961,Sherlock Holmes and the Rune Stone Mystery (Sherlock Holmes Mysteries (Penguin)),601,,156000
SP001962,The Emigrants,579,,917000
SP001963,Enchantment,894,,467000
SP001964,Angel of Darkness (Key Books),916,,991000
SP001965,The Complete Idiot's Guide to Knitting &amp; Crocheting,648,,804000
SP001966,The Age of Innocence,752,,773000
SP001967,Black Thorn   White Rose,996,,985000
SP001968,All the Way to Heaven: An American Boyhood in the Himalayas,615,,844000
SP001969,Year's Best Fantasy and Horror: Sixteenth Edition,420,,615000
SP001970,Gloriana,99,,949000
SP001971,Love and Longing in Bombay : Stories,210,,117000
SP001972,Arranged Marriage: Stories,646,,218000
SP001973,Black Beauty (Apple Classics),77,,748000
SP001974,The Last Report on the Miracles at Little No Horse,442,,209000
SP001975,The Unknown Errors of Our Lives: Stories,816,,321000
SP001976,Sister of My Heart,747,,763000
SP001977,A Guide to the Star Wars Universe,284,,591000
SP001978,The Book of the Dead (The Paradys Series    Vol 3),134,,733000
SP001979,Calliope's Sisters: A Comparative Study of Philosophies of Art,887,,273000
SP001980,No Exit and Three Other Plays (Vintage International),813,,971000
SP001981,Crackpots : A Novel,283,,442000
SP001982,Always Coming Home/Paperback Book and Cassette,569,,306000
SP001983,Steppenwolf: A Novel,705,,265000
SP001984,Cryptonomicon,813,,901000
SP001985,Brave New World &amp; Brave New World Revisited,810,,818000
SP001986,The Antelope Wife : A Novel,17,,834000
SP001987,Tracks RI,262,,796000
SP001988,Steppenwolf,362,,802000
SP001989,Love Medicine,513,,999000
SP001990,Freedom Song: Three Novels,57,,355000
SP001991,Guenevere   Queen of the Summer Country (Guenevere Novels (Paperback)),1000,,315000
SP001992,Finding Laura Buggs,343,,108000
SP001993,The Beet Queen : A Novel,524,,278000
SP001994,Arctic Dreams: Imagination and Desire in a Northern Landscape,908,,304000
SP001995,Wuthering Heights,788,,407000
SP001996,The Sibyl in Her Grave,58,,941000
SP001997,The Acid House,941,,173000
SP001998,Last Man Standing,263,,494000
SP001999,Up Country: A Novel,122,,837000
SP002000,Flesh and Gold,808,,210000
SP002001,The White Raven,438,,913000
SP002002,Evensong (Ballantine Reader's Circle),107,,825000
SP002003,Dare to Dream,331,,479000
SP002004,Keeper n' Me,601,,710000
SP002005,Eat Smart   Think Smart: How to Use Nutrients and Supplements to Achieve Maximum Mental and Physical Performance,617,,695000
SP002006,The Girl in the Window,447,,731000
SP002007,Negaholics,678,,375000
SP002008,Suddenly,481,,554000
SP002009,The Maze,125,,945000
SP002010,After Dark,588,,843000
SP002011,The Grey Beginning,936,,924000
SP002012,The Cat Who Came in from the Cold,432,,446000
SP002013,Out of This World,778,,565000
SP002014,Out of Time : A Casey Jones Mystery (Casey Jones Mysteries),895,,853000
SP002015,The Luberon Garden,666,,685000
SP002016,The Mind Map Book: Millennium Edition,13,,459000
SP002017,Vieja Sirena   La,326,,996000
SP002018,Justine - El Cuarteto de Alejandria I,210,,307000
SP002019,Out to Canaan (The Mitford Years),451,,397000
SP002020,These High   Green Hills (The Mitford Years),607,,351000
SP002021,A Light in the Window (The Mitford Years),189,,996000
SP002022,Clay's Ark,201,,774000
SP002023,Wild Seed,4,,204000
SP002024,1984,32,,682000
SP002025,Mama Day (Vintage Contemporaries),198,,283000
SP002026,Reviving Ophelia: Saving the Selves of Adolescent Girls (Ballantine Reader's Circle),697,,927000
SP002027,Anam Cara : A Book of Celtic Wisdom,717,,775000
SP002028,God's Chinese Son: The Taiping Heavenly Kingdom of Hong Xiuquan,676,,367000
SP002029,Cooking for Yourself (Williams-Sonoma Lifestyles    Vol 12   No 20),558,,366000
SP002030,Other Voices   Other Rooms (Vintage International),93,,487000
SP002031,Rebuilding Coventry: A Tale of Two Cities,658,,942000
SP002032,All Through the Night (Holiday Classics),973,,548000
SP002033,Yeats Is Dead! A Mystery by 15 Irish Writers,226,,978000
SP002034,A Place Called Freedom,138,,159000
SP002035,Body Battles,797,,937000
SP002036,The Complete I Ching: The Definitive Translation by the Taoist Master Alfred Huang,537,,991000
SP002037,El Poder Curativo de La Mente,643,,809000
SP002038,La joven de la perla,679,,286000
SP002039,Ender's Shadow,982,,214000
SP002040,Maestro Cantor,220,,290000
SP002041,Ventajas de viajar en tren,712,,416000
SP002042,The Mists of Avalon,183,,960000
SP002043,Fahrenheit 451 - T.D. -,424,,463000
SP002044,Tithe,121,,247000
SP002045,Immortal: Buffy the Vampire Slayer (Buffy The Vampire Slayer),421,,148000
SP002046,Manana En La Batalla Piensa En Mi - Bolsillo,663,,121000
SP002047,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),292,,309000
SP002048,Jemima J: A Novel About Ugly Ducklings and Swans,772,,465000
SP002049,Now You See Her,870,,948000
SP002050,Sweet Promise,384,,944000
SP002051,Sarah'S Child - Hardcover,569,,448000
SP002052,The Perfect Neighbor (The Macgregors) (The Macgregors : Special Edition Series   No 1232),12,,734000
SP002053,That Cowboy'S Kids (Home On The Ranch) (Harlequin Superromance   No. 910),625,,509000
SP002054,Sandra Brown: Three Complete Novels,640,,691000
SP002055,Crows,661,,796000
SP002056,Coming Home To You (Harlequin Super Romance   No 961),625,,658000
SP002057,Sullivan'S Woman #22 (Nora Roberts : Language of Love   on 22),687,,451000
SP002058,Mustang Man (Western Lovers   4),866,,396000
SP002059,Racing Against Time : Cavanaugh Justice (Intimate Moments),748,,522000
SP002060,His and Hers: Ranchin' Dads (Harlequin - Western Lovers),292,,727000
SP002061,That Kind Of Girl (Silhouette Intimate Moments   No. 1116),992,,438000
SP002062,Fall Of Shane Mackade (The Mackade Brothers) (Silhouette Special Edition   No 1022),688,,737000
SP002063,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),624,,288000
SP002064,Tycoon'S Temptation (Silhouette Desire   No. 1414),36,,565000
SP002065,Walk On The Wild Side (Harlequin Temptation   No 828),225,,151000
SP002066,A Kiss Remembered: A Classic Love Story,558,,161000
SP002067,Seduction by Design,265,,464000
SP002068,Silent Night/All Through the Night : Two Christmas Novels,906,,686000
SP002069,Return to Yesterday (Western Lovers Reunited Hearts),432,,783000
SP002070,Doctor'S Daughter  (Men Of Glory) (Harlequin Superromance   835),493,,355000
SP002071,Dimedici Bride,921,,213000
SP002072,Washington   D.C. (Eyewitness Top 10 Travel Guides),405,,121000
SP002073,Witchcraft,308,,754000
SP002074,Hot Off the Press,413,,274000
SP002075,Painted Sunsets (Western Lovers Ranch Rogues),572,,220000
SP002076,Valentine Fantasy (Fantasy For Hire) (Harlequin Temptation   No. 767),895,,522000
SP002077,Wellspring (Western Lovers   26),70,,805000
SP002078,Lady's Man,72,,636000
SP002079,The Fortune Hunter (Signet Regency Romance),587,,718000
SP002080,Sea Glass: A Novel,801,,290000
SP002081,Just Over The Mountain,142,,385000
SP002082,Man I Used To Know  (Love That Man) (Harlequin Superromance   831),110,,127000
SP002083,Done Driftin' (The Dunleavy Legacy) (Harlequin Superromance   No 654),380,,631000
SP002084,Mountain Laurel (Love Inspired (Numbered)),981,,384000
SP002085,TREASURE-CUSSLER,20,,187000
SP002086,The Sword of Orion,487,,968000
SP002087,ICE WARRIOR,123,,537000
SP002088,Beneath the Silent Sea,384,,119000
SP002089,The Silent Service: Los Angeles Class,729,,665000
SP002090,Maximum Impact,600,,654000
SP002091,Supercarrier: An Inside Account of Life Aboard the World's Most Powerful Ship   the Uss John F. Kennedy,598,,493000
SP002092,CW2    (CO),684,,376000
SP002093,Wolfs-Bane,554,,254000
SP002094,Silent Sea,825,,612000
SP002095,Anima mundi (Romanzi e racconti),714,,512000
SP002096,Il Giovane Holden,12,,464000
SP002097,Una Donna,570,,368000
SP002098,El Ultimo Judio (Punto de Lectura),569,,873000
SP002099,My Side of the Mountain,152,,210000
SP002100,Kaleidoscope,316,,766000
SP002101,A Different Voice,392,,856000
SP002102,My Antonia (Willa Cather Scholarly Edition Series),541,,587000
SP002103,Every Secret Thing : A Novel,24,,462000
SP002104,American Pastoral,539,,684000
SP002105,Sophies Choice,68,,825000
SP002106,A Connecticut Yankee in King Arthur's Court,753,,711000
SP002107,The Guns of Avalon (Chronicles of Amber),457,,458000
SP002108,Nine Princes In Amber,552,,412000
SP002109,Flower Arranging (Rd Home Handbooks),301,,996000
SP002110,Year In Provence,28,,673000
SP002111,De Bons Presages,221,,419000
SP002112,Du bon usage de la lenteur,111,,588000
SP002113,Journal De Anne Frank,91,,193000
SP002114,Le Pigeon,91,,197000
SP002115,L'Ultimo Natale Di Guerra: A Cura Di Marco Belpoliti,505,,835000
SP002116,Man from the Broken Hills,743,,538000
SP002117,El Amor En Los Tiempos Del Colera / Love in the Times of Cholera,811,,939000
SP002118,Cien AÃ±os de Soledad,258,,380000
SP002119,The Aguero Sisters (Ballantine Reader's Circle),15,,452000
SP002120,The Ghost of Hannah Mendes,901,,575000
SP002121,Seraglio,22,,475000
SP002122,Portrait in Sepia : A Novel,761,,315000
SP002123,Daughter of Fortune: A Novel,35,,692000
SP002124,The Pearl (Women of Faith Fiction),883,,487000
SP002125,Schatten Ã?Â¼ber den Weiden.,511,,783000
SP002126,Shadow of the Hegemon,638,,760000
SP002127,April Fool Dead: A Death on Demand Mystery,110,,935000
SP002128,Chicken Soup for the College Soul : Inspiring and Humorous Stories for College Students (Chicken Soup for the Soul),450,,159000
SP002129,The Ledge,72,,591000
SP002130,Substitute Teaching: A Handbook for Hassle-Free Subbing,960,,708000
SP002131,Emotional Purity : An Affair of the Heart,476,,498000
SP002132,Seven Habits Of Highly Effective People,388,,690000
SP002133,The Mysterious Affair at Styles : A Detective Story (Modern Library Classics),881,,847000
SP002134,Yeats Is Dead! (Vintage Crime/Black Lizard),956,,175000
SP002135,Worse Than a Crime,8,,681000
SP002136,A Question of Guilt,998,,635000
SP002137,Puppet for a Corpse,713,,770000
SP002138,River of Hidden Dreams,239,,361000
SP002139,Skinny Legs and All,420,,208000
SP002140,Vermillion eye: A chiller of a thriller that will shock you to the bone,864,,140000
SP002141,You're Fifty--Now What?: Investing for the Second Half of Your Life,559,,830000
SP002142,Judging Time (April Woo Suspense Novels (Paperback)),133,,462000
SP002143,A Secret Affair,68,,521000
SP002144,Suspicion of Deceit,723,,759000
SP002145,Dangerous to Know,449,,496000
SP002146,Politika (Tom Clancy's Power Plays (Paperback)),264,,406000
SP002147,Blood Orchid,648,,297000
SP002148,Im Wald der gehenkten FÃ?Â¼chse.,601,,796000
SP002149,Novecento : Pianiste,824,,193000
SP002150,Fahrenheit 451,612,,175000
SP002151,The Selfish Gene,139,,411000
SP002152,Ender's Game (Ender Wiggins Saga (Paperback)),220,,841000
SP002153,House Harkonnen (Dune: House Trilogy   Book 2),778,,856000
SP002154,Chapterhouse Dune (Dune Chronicles   Book 6),709,,220000
SP002155,Heretics of Dune (Dune Chronicles   Book 5),277,,177000
SP002156,God Emperor of Dune (Dune Chronicles   Book 4),3,,714000
SP002157,Children of Dune (Dune Chronicles   Book 3),14,,652000
SP002158,Blackwood Farm (Rice   Anne   Vampire Chronicles.),875,,823000
SP002159,Serpico,105,,951000
SP002160,Diagnostic and Statistical Manual of Mental Disorders DSM-IV-TR (Text Revision),187,,459000
SP002161,The Andromeda Strain,201,,652000
SP002162,Loves Music   Loves to Dance,216,,757000
SP002163,The Killer Angels,958,,976000
SP002164,Dolores Claiborne,414,,494000
SP002165,America's Best Slow Cooker Recipes,878,,901000
SP002166,Pandora: New Tales of the Vampires (New Tales of the Vampires),351,,188000
SP002167,The Hero and the Crown,871,,174000
SP002168,Lies My Teacher Told Me : Everything Your American History Textbook Got Wrong,410,,692000
SP002169,Pooh's Little Book of Feng Shui,211,,409000
SP002170,Lord of Chaos (The Wheel of Time   Book 6),792,,456000
SP002171,The Fires of Heaven (The Wheel of Time   Book 5),67,,674000
SP002172,The Shadow Rising (The Wheel of Time   Book 4),984,,161000
SP002173,The Dragon Reborn (The Wheel of Time   Book 3),716,,386000
SP002174,New Threads in the Pattern: The Great Hunt   Part 2 (The Wheel of Time   Book 2),492,,722000
SP002175,The Hunt Begins: The Great Hunt   Part 1 (The Wheel of Time   Book 2   Part 1),222,,117000
SP002176,The Eye of the World (The Wheel of Time   Book 1),684,,769000
SP002177,Introductory Lectures on Psychoanalysis,174,,346000
SP002178,The Method of Zen,441,,741000
SP002179,King Lear,28,,742000
SP002180,Confessions of Saint Augustine (Image Book),29,,928000
SP002181,The Individual In A Social World: Essays and Experiments,616,,931000
SP002182,Sun Tzu's The Art of War Plus The Original Chinese Revealed,15,,221000
SP002183,The Book of Five Rings,355,,120000
SP002184,Archery Anatomy: An Introduction to Techniques for Improved Performance,933,,571000
SP002185,One Arrow   One Life: Zen   Archery   Enlightenment,140,,429000
SP002186,Zen in the Art of Archery (Vintage Spiritual Classics),113,,980000
SP002187,Plane Insanity: A Flight Attendant's Tales of Sex   Rage   and Queasiness at 30  000 Feet,819,,670000
SP002188,The Street Lawyer,48,,619000
SP002189,Love Me Tender (Starlight),188,,791000
SP002190,Growing Pains of Adrian Mole,994,,728000
SP002191,How to Make Square Eggs,934,,588000
SP002192,A Bridge to Wiseman's Cove (Uqp Young Adult Fiction),408,,444000
SP002193,Starsong (Tsr Books),253,,600000
SP002194,People of the Mist (The First North Americans series   Book 9),691,,398000
SP002195,Harm's Way,34,,348000
SP002196,Die Spinne und das MÃ?Â¤dchen.,824,,963000
SP002197,Die Bildhauerin.,162,,890000
SP002198,20 Jahre 40 bleiben. Jung und schÃ?Â¶n in den besten Jahren.,316,,653000
SP002199,Goddess Blood: Book One of the Goddess Trilogy,780,,556000
SP002200,Clear and Present Danger (Jack Ryan Novels),803,,389000
SP002201,Time Wars,936,,974000
SP002202,The Return,606,,650000
SP002203,Lord of the Dance,235,,709000
SP002204,Dinner at the Homesick Restaurant,405,,102000
SP002205,The Fourth Wall,794,,115000
SP002206,Newjack: Guarding Sing Sing (Vintage),849,,359000
SP002207,Homestead   A Memoir,188,,801000
SP002208,The Quilt of Life: A Patchwork of Devotional Thoughts (Inspirational Library (Paperback)),298,,714000
SP002209,All Together in One Place: A Novel of Kinship   Courage   and Faith (Kirkpatrick   Jane. Kinship and Courage Historical Series   Bk. 1.),421,,448000
SP002210,Tuesdays with Morrie: An Old Man   a Young Man   and Life's Greatest Lesson,174,,328000
SP002211,Martha Stuart's Better Than You at Entertaining (A Parody),117,,368000
SP002212,Pigs in Heaven,657,,328000
SP002213,Napalm &amp; Silly Putty,535,,972000
SP002214,Having Our Say: The Delany Sisters' First 100 Years,418,,745000
SP002215,Stop Being Mean to Yourself: A Story About Finding the True Meaning of Self-Love,657,,634000
SP002216,Tell No One,430,,845000
SP002217,ROGUE WARRIOR: ROGUE WARRIOR I  (PAPERBACK),605,,957000
SP002218,Deadly Justice,328,,891000
SP002219,True Crime: The Novel,197,,362000
SP002220,The Pilates Body: The Ultimate At-Home Guide to Strengthening   Lengthening   and Toning Your Body--Without Machines,483,,939000
SP002221,The Self-Esteem Companion,649,,487000
SP002222,What Women Want: What Every Man Needs to Know About Sex   Romance   Passion   and Pleasure,905,,359000
SP002223,Dada and Surrealism: A Very Short Introduction (Very Short Introductions),437,,649000
SP002224,Creativity : Flow and the Psychology of Discovery and Invention,23,,732000
SP002225,Eats   Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation,682,,926000
SP002226,The Big Book of Calm,373,,505000
SP002227,Diary of a Language Teacher,791,,751000
SP002228,Naked,370,,631000
SP002229,A Walk in the Woods: Rediscovering America on the Appalachian Trail,780,,509000
SP002230,Why Not Me?: The Inside Story of the Making and Unmaking of the Franken Presidency,586,,805000
SP002231,Book,323,,203000
SP002232,Dirty Jokes and Beer : Stories of the Unrefined,79,,146000
SP002233,Waiting (Vintage International),3,,416000
SP002234,Maya,622,,732000
